TIENDA_ID,PLAZA_CVE,NIVELSOCIOECONOMICO_DES,ENTORNO_DES,MTS2VENTAS_NUM,PUERTASREFRIG_NUM,CAJONESESTACIONAMIENTO_NUM,LATITUD_NUM,LONGITUD_NUM,SEGMENTO_MAESTRO_DESC,LID_UBICACION_TIENDA,OXXO,Seven-Eleven,Supers,Farmacias,Abarrotes,Cafeterías,Usados,Otros,PORCENTAJE_CUMPLIMIENTO,index_right,CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,LLAVE_AGEB,Llave,P_18A24,PROM_HNV,VIVPAR_UT,PSINDER,VIVTOT,TOTHOG,PDER_SS,GRAPROES,POBTOT,P_60YMAS,P_18YMAS,llaveEnt
126,1,BC,Hogar,127.42,13.0,7.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,1,0,1,0,0,2,0,0,2.013702991253644,1260.0,1902600010393,19,026,0001,0393,1902600010393,02600010393,909.0,106.13,59.0,1596.0,2834.0,2480.0,6970.0,9.284107143,8586.0,1859.0,6834.0,1902600010393
681,1,C,Hogar,128.13,13.0,9.411461883494123,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,1,0,0,0,3,0,0,0,1.841085541302236,259.0,1900600012274,19,006,0001,2274,1900600012274,00600012274,1102.0,65.15,101.0,1335.0,3960.0,3406.0,10220.0,11.72071429,11564.0,349.0,7764.0,1900600012274
117,1,C,Base,87.62,11.0,11.0,25.71883,-100.19133,Hogar Reunión,UT_DENSIDAD,2,0,0,0,2,0,0,0,1.0245661884920636,1205.0,1902600011847,19,026,0001,1847,1902600011847,02600011847,1246.0,69.53,22.0,1578.0,3042.0,2686.0,7380.0,11.55195122,8976.0,812.0,6752.0,1902600011847
682,1,C,Hogar,90.7,13.0,7.6862065344371775,25.66952,-100.20744,Hogar Reunión,UT_DENSIDAD,1,0,0,0,2,0,0,2,1.9805586083576283,1199.0,1902600011457,19,026,0001,1457,1902600011457,02600011457,558.0,68.24,41.0,726.0,1612.0,1391.0,3821.0,9.459210526,4558.0,930.0,3685.0,1902600011457
275,1,C,Hogar,95.3,13.0,6.0,25.73766,-100.16116,Hogar Reunión,UT_DENSIDAD,1,0,0,0,1,0,0,1,1.753900771622935,208.0,1900600011632,19,006,0001,1632,1900600011632,00600011632,1698.0,63.78,25.0,1666.0,3510.0,3114.0,10134.0,9.806956522,11862.0,303.0,7742.0,1900600011632
684,1,C,Base,116.07,13.0,8.855582121014113,25.70486,-100.15613,Oficinistas,UT_GAS_URBANA,0,0,0,0,1,0,0,0,0.8868345719246031,1381.0,1902600012883,19,026,0001,2883,1902600012883,02600012883,319.0,62.36,22.0,491.0,2738.0,1809.0,4875.0,10.98746667,5386.0,97.0,3794.0,1902600012883
694,1,C,Receso,78.48,13.0,7.1229519160702015,25.67955,-100.24328,Oficinistas,UT_TRAFICO_PEATONAL,2,1,0,0,0,0,0,0,2.4369666851236618,1271.0,1902600011419,19,026,0001,1419,1902600011419,02600011419,651.0,71.01,27.0,974.0,1900.0,1728.0,4688.0,12.10666667,5666.0,1456.0,4674.0,1902600011419
272,1,C,Hogar,100.58,12.0,7.0,25.70058,-100.2018,Hogar Reunión,UT_DENSIDAD,1,0,0,0,1,0,0,0,3.168483486880466,1317.0,1902600012262,19,026,0001,2262,1902600012262,02600012262,828.0,45.2,30.0,776.0,1782.0,1508.0,4560.0,10.70612903,5336.0,426.0,3940.0,1902600012262
702,1,C,Hogar,73.24,13.0,6.881425385772088,25.67344,-100.26084,Hogar Reunión,UT_DENSIDAD,1,1,0,0,2,1,0,4,1.932277139941692,1291.0,1902600010444,19,026,0001,0444,1902600010444,02600010444,490.0,53.2,19.0,966.0,1830.0,1578.0,3980.0,10.90806452,4948.0,1330.0,4080.0,1902600010444
704,1,C,Base,107.23,13.0,8.448121333,25.68419,-100.22138,Hogar Reunión,UT_TRAFICO_VEHICULAR,1,0,0,0,4,1,0,0,2.1815807549603177,1253.0,1902600011372,19,026,0001,1372,1902600011372,02600011372,598.0,69.89,9.0,1044.0,1556.0,1372.0,3846.0,9.084193548,4902.0,1040.0,3862.0,1902600011372
