,TIENDA_ID,PLAZA_CVE,NIVELSOCIOECONOMICO_DES,ENTORNO_DES,MTS2VENTAS_NUM,PUERTASREFRIG_NUM,CAJONESESTACIONAMIENTO_NUM,LATITUD_NUM,LONGITUD_NUM,SEGMENTO_MAESTRO_DESC,LID_UBICACION_TIENDA,OXXO,Seven-Eleven,Supers,Farmacias,Abarrotes,Cafeterías,Usados,Otros,PORCENTAJE_CUMPLIMIENTO
0,126,1,BC,Hogar,127.42,13.0,7.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.013702991253644
1,681,1,C,Hogar,128.13,13.0,9.411461883494123,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.8410855413022356
2,117,1,C,Base,87.62,11.0,11.0,25.71883,-100.19133,Hogar Reunión,UT_DENSIDAD,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0245661884920636
3,682,1,C,Hogar,90.7,13.0,7.6862065344371775,25.66952,-100.20744,Hogar Reunión,UT_DENSIDAD,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.9805586083576283
4,275,1,C,Hogar,95.3,13.0,6.0,25.73766,-100.16116,Hogar Reunión,UT_DENSIDAD,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.753900771622935
5,684,1,C,Base,116.07,13.0,8.855582121014113,25.70486,-100.15613,Oficinistas,UT_GAS_URBANA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8868345719246031
6,694,1,C,Receso,78.48,13.0,7.1229519160702015,25.67955,-100.24328,Oficinistas,UT_TRAFICO_PEATONAL,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4369666851236618
7,272,1,C,Hogar,100.58,12.0,7.0,25.70058,-100.2018,Hogar Reunión,UT_DENSIDAD,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.168483486880466
8,702,1,C,Hogar,73.24,13.0,6.881425385772088,25.67344,-100.26084,Hogar Reunión,UT_DENSIDAD,1.0,1.0,0.0,0.0,2.0,1.0,0.0,4.0,1.9322771399416916
9,704,1,C,Base,107.23,13.0,8.44812133325928,25.68419,-100.22138,Hogar Reunión,UT_TRAFICO_VEHICULAR,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.1815807549603177
10,125,1,BC,Hogar,141.9,10.0,6.0,25.69017,-100.25164,Clásico,UT_TRAFICO_VEHICULAR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0540093683187566
11,279,1,C,Hogar,104.2,13.0,12.0,25.67484,-100.24412,Hogar Reunión,UT_DENSIDAD,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.377194241982508
12,127,1,BC,Hogar,132.0,12.0,5.0,25.66474,-100.20913,Hogar Reunión,UT_GAS_URBANA,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.8442852128279887
13,706,1,C,Hogar,120.87,13.0,9.076827797623071,25.73785,-100.20217,Hogar Reunión,UT_DENSIDAD,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.714699003887269
14,129,1,BC,Base,83.99,13.0,10.0,25.6808,-100.24372,Hogar Reunión,UT_TRAFICO_VEHICULAR,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.8069601765873016
15,268,1,C,Base,121.2,13.0,9.0,25.69481,-100.23052,Clásico,UT_GAS_URBANA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.85664170436508
16,131,1,BC,Hogar,99.65,12.0,8.0,25.64911,-100.26649,Clásico,UT_DENSIDAD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8020026132167155
17,716,1,C,Hogar,121.21,13.0,9.092499366382874,25.7105,-100.21547,Hogar Reunión,UT_DENSIDAD,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.4687268950437318
18,722,1,C,Base,118.3,13.0,8.958369174938692,25.69569,-100.24609,Oficinistas,UT_TRAFICO_VEHICULAR,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.4631372480158733
