,TIENDA_ID,PLAZA_CVE,NIVELSOCIOECONOMICO_DES,ENTORNO_DES,MTS2VENTAS_NUM,PUERTASREFRIG_NUM,CAJONESESTACIONAMIENTO_NUM,LATITUD_NUM,LONGITUD_NUM,SEGMENTO_MAESTRO_DESC,LID_UBICACION_TIENDA,Abarrotes,Bares y Cervezas,Farmacias,OXXO,Otros,Supers,Escuelas,Salud,Gimnasios,Cafeterías,Seven-Eleven,Museos,Cines,Moteles,CVE_AGEB,P_18A24,PROM_HNV,VIVPAR_UT,PSINDER,VIVTOT,TOTHOG,PDER_SS,GRAPROES,POBTOT,P_60YMAS,P_18YMAS,PORCENTAJE_CUMPLIMIENTO
0,126,1,BC,Hogar,127.42,13.0,7.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,8.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0393,909.0,106.13,59.0,1596.0,2834.0,2480.0,6970.0,9.284107143,8586.0,1859.0,6834.0,2.013702991253644
1,681,1,C,Hogar,128.13,13.0,9.411461883494123,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,10.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2274,1102.0,65.15,101.0,1335.0,3960.0,3406.0,10220.0,11.72071429,11564.0,349.0,7764.0,1.841085541302236
2,117,1,C,Base,87.62,11.0,11.0,25.71883,-100.19133,Hogar Reunión,UT_DENSIDAD,19.0,7.0,5.0,2.0,3.0,2.0,2.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,1847,1246.0,69.53,22.0,1578.0,3042.0,2686.0,7380.0,11.55195122,8976.0,812.0,6752.0,1.0245661884920636
3,682,1,C,Hogar,90.7,13.0,7.6862065344371775,25.66952,-100.20744,Hogar Reunión,UT_DENSIDAD,30.0,6.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,1457,558.0,68.24,41.0,726.0,1612.0,1391.0,3821.0,9.459210526,4558.0,930.0,3685.0,1.9805586083576283
4,275,1,C,Hogar,95.3,13.0,6.0,25.73766,-100.16116,Hogar Reunión,UT_DENSIDAD,12.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1632,1698.0,63.78,25.0,1666.0,3510.0,3114.0,10134.0,9.806956522,11862.0,303.0,7742.0,1.753900771622935
5,684,1,C,Base,116.07,13.0,8.855582121014113,25.70486,-100.15613,Oficinistas,UT_GAS_URBANA,10.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,2883,319.0,62.36,22.0,491.0,2738.0,1809.0,4875.0,10.98746667,5386.0,97.0,3794.0,0.8868345719246031
6,694,1,C,Receso,78.48,13.0,7.1229519160702015,25.67955,-100.24328,Oficinistas,UT_TRAFICO_PEATONAL,9.0,3.0,5.0,4.0,3.0,1.0,4.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,1419,651.0,71.01,27.0,974.0,1900.0,1728.0,4688.0,12.10666667,5666.0,1456.0,4674.0,2.4369666851236618
7,272,1,C,Hogar,100.58,12.0,7.0,25.70058,-100.2018,Hogar Reunión,UT_DENSIDAD,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2262,828.0,45.2,30.0,776.0,1782.0,1508.0,4560.0,10.70612903,5336.0,426.0,3940.0,3.168483486880466
8,702,1,C,Hogar,73.24,13.0,6.881425385772088,25.67344,-100.26084,Hogar Reunión,UT_DENSIDAD,14.0,11.0,3.0,4.0,15.0,1.0,4.0,6.0,3.0,7.0,2.0,1.0,0.0,0.0,0444,490.0,53.2,19.0,966.0,1830.0,1578.0,3980.0,10.90806452,4948.0,1330.0,4080.0,1.932277139941692
9,704,1,C,Base,107.23,13.0,8.44812133325928,25.68419,-100.22138,Hogar Reunión,UT_TRAFICO_VEHICULAR,21.0,12.0,0.0,3.0,6.0,1.0,1.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,1372,598.0,69.89,9.0,1044.0,1556.0,1372.0,3846.0,9.084193548,4902.0,1040.0,3862.0,2.1815807549603177
10,125,1,BC,Hogar,141.9,10.0,6.0,25.69017,-100.25164,Clásico,UT_TRAFICO_VEHICULAR,1.0,1.0,4.0,2.0,3.0,2.0,8.0,9.0,2.0,7.0,1.0,0.0,1.0,0.0,0181,282.0,41.04,3.0,270.0,1222.0,1110.0,2840.0,12.62652174,3122.0,998.0,2630.0,3.0540093683187566
11,279,1,C,Hogar,104.2,13.0,12.0,25.67484,-100.24412,Hogar Reunión,UT_DENSIDAD,11.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1419,651.0,71.01,27.0,974.0,1900.0,1728.0,4688.0,12.10666667,5666.0,1456.0,4674.0,2.377194241982508
12,127,1,BC,Hogar,132.0,12.0,5.0,25.66474,-100.20913,Hogar Reunión,UT_GAS_URBANA,33.0,10.0,1.0,1.0,2.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,2.0,1584,968.0,92.69,10.0,2310.0,2372.0,2188.0,6192.0,8.417631579,8510.0,1790.0,6430.0,1.8442852128279887
13,706,1,C,Hogar,120.87,13.0,9.076827797623071,25.73785,-100.20217,Hogar Reunión,UT_DENSIDAD,5.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0244,24.0,9.23,0.0,60.0,44.0,36.0,115.0,5.254285714,180.0,26.0,128.0,1.714699003887269
14,129,1,BC,Base,83.99,13.0,10.0,25.6808,-100.24372,Hogar Reunión,UT_TRAFICO_VEHICULAR,8.0,3.0,6.0,5.0,5.0,1.0,7.0,4.0,2.0,8.0,2.0,0.0,0.0,0.0,0321,1044.0,82.36,83.0,1817.0,3718.0,3270.0,8494.0,11.1575,10318.0,2966.0,8566.0,1.8069601765873016
15,268,1,C,Base,121.2,13.0,9.0,25.69481,-100.23052,Clásico,UT_GAS_URBANA,5.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,132A,592.0,39.69,156.0,745.0,2464.0,1948.0,4660.0,10.80885714,5426.0,973.0,4525.0,2.85664170436508
16,131,1,BC,Hogar,99.65,12.0,8.0,25.64911,-100.26649,Clásico,UT_DENSIDAD,2.0,4.0,3.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1160,726.0,65.9,0.0,915.0,2450.0,2309.0,6196.0,13.33408163,7136.0,1591.0,5992.0,1.8020026132167155
