,TIENDA_ID,PLAZA_CVE,NIVELSOCIOECONOMICO_DES,ENTORNO_DES,MTS2VENTAS_NUM,PUERTASREFRIG_NUM,CAJONESESTACIONAMIENTO_NUM,LATITUD_NUM,LONGITUD_NUM,SEGMENTO_MAESTRO_DESC,LID_UBICACION_TIENDA,DATASET
0,126,1,BC,Hogar,127.42,13.0,7.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN
1,681,1,C,Hogar,128.13,13.0,9.411461883494123,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,TRAIN
2,117,1,C,Base,87.62,11.0,11.0,25.71883,-100.19133,Hogar Reunión,UT_DENSIDAD,TRAIN
3,682,1,C,Hogar,90.7,13.0,7.6862065344371775,25.66952,-100.20744,Hogar Reunión,UT_DENSIDAD,TRAIN
4,275,1,C,Hogar,95.3,13.0,6.0,25.73766,-100.16116,Hogar Reunión,UT_DENSIDAD,TRAIN
5,684,1,C,Base,116.07,13.0,8.855582121014113,25.70486,-100.15613,Oficinistas,UT_GAS_URBANA,TRAIN
6,694,1,C,Receso,78.48,13.0,7.1229519160702015,25.67955,-100.24328,Oficinistas,UT_TRAFICO_PEATONAL,TRAIN
7,272,1,C,Hogar,100.58,12.0,7.0,25.70058,-100.2018,Hogar Reunión,UT_DENSIDAD,TRAIN
8,702,1,C,Hogar,73.24,13.0,6.881425385772088,25.67344,-100.26084,Hogar Reunión,UT_DENSIDAD,TRAIN
9,704,1,C,Base,107.23,13.0,8.44812133325928,25.68419,-100.22138,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN
10,125,1,BC,Hogar,141.9,10.0,6.0,25.69017,-100.25164,Clásico,UT_TRAFICO_VEHICULAR,TRAIN
11,279,1,C,Hogar,104.2,13.0,12.0,25.67484,-100.24412,Hogar Reunión,UT_DENSIDAD,TRAIN
12,127,1,BC,Hogar,132.0,12.0,5.0,25.66474,-100.20913,Hogar Reunión,UT_GAS_URBANA,TRAIN
13,706,1,C,Hogar,120.87,13.0,9.076827797623073,25.73785,-100.20217,Hogar Reunión,UT_DENSIDAD,TRAIN
14,129,1,BC,Base,83.99,13.0,10.0,25.6808,-100.24372,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN
